company_name,city,trade,entity_type,staff_est,phone,email,website,hook,personalization_nl,source_url,verify_before_cold
"Folstra B.V.","Rotterdam","loodgieter","BV","onbekend","010-600 11 57","onbekend","rotterdam-loodgieters.nl","Geen e-mailcontact vindbaar; telefonisch bereikbaar maar geen terugbelservice of online afspraak","Klanten die 's avonds of in het weekend bellen en geen gehoor krijgen, laten het bij het volgende bedrijf. Klantkraan zorgt dat iedere gemiste oproep binnen 90 seconden automatisch teruggebeld wordt — zonder dat u er naar om hoeft te kijken.","https://rotterdam-loodgieters.nl/contact",""
"Loodgieter Rotterdam B.V.","Rotterdam","loodgieter","BV","onbekend","+31 6 26144204","onbekend","loodgieterrotterdam-bv.nl","Geen e-mailadres vindbaar; alleen mobiel nummer; geen WhatsApp; Google-beoordelingen niet zichtbaar op site","Met alleen een 06-nummer bereikbaar zijn betekent dat iedere gemiste oproep weg is — geen automatische terugbeloptie, geen bevestiging. Klantkraan neemt de telefoon over buiten kantooruren en stuurt direct een sms terug.","https://loodgieterrotterdam-bv.nl",""
"Visser & Van der Hell Loodgietersbedrijf b.v.","Rotterdam","loodgieter","BV","onbekend","010-413 58 63","info@visservanderhell.nl","visservanderhell.nl","Website noemt geen WhatsApp, geen online afspraak, geen Google-reviews zichtbaar; geen 24/7-service vermeld","Een klant die om 17:30 belt en geen gehoor krijgt, zoekt online verder en vindt uw concurrent. Een AI-telefoniste zorgt dat die klant meteen geholpen wordt — ook na werktijd.","https://www.visservanderhell.nl/",""
"Lohmann Groep B.V.","Rotterdam","loodgieter","BV","onbekend","010-466 75 55","info@lohmannbv.nl","lohmannbv.nl","Geen Google-beoordelingen zichtbaar; geen WhatsApp; alleen offerte-formulier, geen directe afspraak of terugbelservice","Lohmann noemt wel 24/7 bereikbaarheid, maar zonder automatische bevestiging of review-opvolging weet u niet hoeveel klanten afhaken. Klantkraan regelt de terugbelflow en vraagt na iedere klus automatisch een Google-review.","https://lohmannbv.nl",""
"Loodgietersbedrijf Meijer B.V.","Rotterdam","loodgieter","BV","~10","010-412 57 00","info@loodgietermeijer.nl","loodgietermeijer.nl","Slechts 23 Google-reviews ondanks 120 jaar bestaan en ~10 medewerkers; geen WhatsApp; geen online afspraak","Met 120 jaar vakmanschap en tien monteurs op de weg hoort u meer dan 23 Google-reviews te hebben. Klantkraan stuurt na iedere afgeronde klus automatisch een reviewverzoek.","https://www.loodgietermeijer.nl/",""
"Loodgieterbedrijf Osterhoff B.V.","Utrecht","loodgieter","BV","onbekend","030-200 35 62","onbekend","utrecht-loodgieters.nl","Geen e-mailadres vindbaar; geen Google-reviews zichtbaar; vermeldt vakantiesluiting waarbij telefoon moeilijk bereikbaar is","Tijdens uw vakantieperiode is de telefoon 'moeilijk bereikbaar' — precies wanneer urgente klanten afhaken. Een AI-telefoniste vangt ieder inkomend gesprek op en stuurt direct een terugbel-sms, ook als u op vakantie bent.","https://utrecht-loodgieters.nl/",""
"Loodgieter Utrecht B.V.","Utrecht","loodgieter","BV","onbekend","030-760 11 65","info@loodgieterutrechtbv.nl","loodgieterutrechtbv.nl","Geen Google-beoordelingen zichtbaar; geen WhatsApp; geen online afspraak; alleen contactformulier","U belooft klanten dat u direct terugbelt, maar zonder automatische opvolging valt er altijd wel een oproep tussen wal en schip. Klantkraan garandeert dat iedere gemiste beller binnen 90 seconden een sms ontvangt, 24/7.","https://www.loodgieterutrechtbv.nl/",""
"Vak Loodgieter B.V.","Amsterdam","loodgieter","BV","onbekend","020-213 61 51","onbekend","amsterdam-loodgieters.nl","Geen e-mailadres vindbaar; geen Google-beoordelingen zichtbaar; sluit op zondag terwijl website 24/7 belooft","Op zondag gesloten terwijl de site 24/7 bereikbaarheid belooft — dat is een geloofwaardigheidsgat dat klanten merken. Klantkraan laat op zondag geen beller onbeantwoord en stuurt direct een terugbel-sms.","https://amsterdam-loodgieters.nl/",""
"Herfst B.V.","Amsterdam","loodgieter","BV","~14","020-624 21 39","info@herfstbv.nl","herfstbv.nl","14 medewerkers maar geen Google-beoordelingen zichtbaar, geen WhatsApp, geen online afspraak, geen 24/7-vermelding","Met veertien medewerkers en meer dan vijftig jaar vakmanschap verdient Herfst een sterkere online reputatie. Klantkraan zorgt dat iedere afgeronde klus automatisch een Google-reviewverzoek oplevert — zonder extra werk voor uw team.","https://www.herfstbv.nl/",""
"Smits Installaties B.V.","Amsterdam","loodgieter","BV","onbekend","020-694 95 50","info@smits-installaties.nl","smits-installaties.nl","Geen Google-beoordelingen zichtbaar; geen WhatsApp; storingsdienst via apart nummer (088), wat drempel verhoogt","Klanten die buiten kantooruren bellen moeten een apart storingsnummer onthouden — dat kost u opdrachten. Klantkraan neemt het hoofdnummer over na werktijd en schakelt direct door, zonder dat klanten een tweede nummer hoeven te zoeken.","https://smits-installaties.nl/",""
